,m_lat,m_lon,City,h_lat,h_lon,distance
0,33.87865278,-87.32532778,Birmingham,33.5206608,-86.80249,62.642
1,34.91044167,-86.90870833,Madison,34.6992579,-86.7483318,27.674
2,34.91044167,-86.90870833,Madison,43.07305170000001,-89.4012302,932.727
3,32.14200556,-85.75845556,Montgomery,32.366805199999995,-86.2999689,56.726
4,31.43981389,-85.5103,Dothan,31.2232313,-85.39048879999999,26.636
5,31.31933056,-85.5151,Dothan,31.2232313,-85.39048879999999,15.951
6,33.43849444,-85.38926667,Auburn,32.6098566,-85.48078249999999,92.534
7,33.43849444,-85.38926667,Auburn,47.3073228,-122.22845320000002,3438.43
8,34.77304444,-86.52766389,Huntsville,34.730368799999994,-86.5861037,7.143
9,34.77304444,-86.52766389,Huntsville,30.723526300000003,-95.5507771,955.901
10,33.46248889,-86.87090556,Hoover,33.405386699999994,-86.8113781,8.416
11,33.2361,-86.81392222,Hoover,33.405386699999994,-86.8113781,18.825
12,34.75836667,-87.60750833,Florence,34.1954331,-79.7625625,721.632
13,34.75836667,-87.60750833,Florence,34.79981,-87.677251,7.862
14,34.76602778,-86.87921111,Madison,34.6992579,-86.7483318,14.077
15,34.76602778,-86.87921111,Madison,43.07305170000001,-89.4012302,948.987
16,34.36911667,-86.28887778,Huntsville,34.730368799999994,-86.5861037,48.524
17,34.36911667,-86.28887778,Huntsville,30.723526300000003,-95.5507771,957.577
18,32.55177222,-85.74464444,Auburn,32.6098566,-85.48078249999999,25.553
19,32.55177222,-85.74464444,Auburn,47.3073228,-122.22845320000002,3473.604
20,32.16270833,-85.71402778,Auburn,32.6098566,-85.48078249999999,54.331
21,32.16270833,-85.71402778,Auburn,47.3073228,-122.22845320000002,3503.185
22,33.96415,-87.60569722,Tuscaloosa,33.2098407,-87.5691735,83.944
23,32.61823889,-85.37138333,Auburn,32.6098566,-85.48078249999999,10.289
24,32.61823889,-85.37138333,Auburn,47.3073228,-122.22845320000002,3496.194
25,30.50592778,-88.233925,Mobile,30.6953657,-88.0398912,28.082
26,32.52434444,-86.67211944,Montgomery,32.366805199999995,-86.2999689,39.069
27,33.22930833,-86.26927778,Hoover,33.405386699999994,-86.8113781,54.043
28,33.46581111,-86.04999167,Birmingham,33.5206608,-86.80249,70.046
29,33.56601667,-86.52102222,Birmingham,33.5206608,-86.80249,26.569
30,33.84021944,-87.33155833,Birmingham,33.5206608,-86.80249,60.491
31,32.21718333,-85.91875,Montgomery,32.366805199999995,-86.2999689,39.507
32,31.83945278,-85.2207,Dothan,31.2232313,-85.39048879999999,70.385
33,33.08890556,-87.67459722,Tuscaloosa,33.2098407,-87.5691735,16.648
34,33.46460556,-86.941675,Hoover,33.405386699999994,-86.8113781,13.768
35,30.47271111,-87.66633056,Pensacola,30.421309,-87.2169149,43.459
36,32.43066389,-86.51791667,Montgomery,32.366805199999995,-86.2999689,21.659
37,31.16130833,-85.19056111,Dothan,31.2232313,-85.39048879999999,20.225
38,32.78083333,-86.4702,Montgomery,32.366805199999995,-86.2999689,48.723
39,33.92139167,-87.86725,Tuscaloosa,33.2098407,-87.5691735,83.802
40,33.74095278,-85.88291667,Birmingham,33.5206608,-86.80249,88.591
41,32.87644722,-85.87761667,Auburn,32.6098566,-85.48078249999999,47.5
42,32.87644722,-85.87761667,Auburn,47.3073228,-122.22845320000002,3441.291
43,30.65515556,-87.90710278,Mobile,30.6953657,-88.0398912,13.463
44,33.58196667,-86.92233333,Birmingham,33.5206608,-86.80249,13.031
45,30.85440833,-88.19383056,Mobile,30.6953657,-88.0398912,23.001
46,30.73176944,-87.78450833,Mobile,30.6953657,-88.0398912,24.747
47,30.612125,-88.07764444,Mobile,30.6953657,-88.0398912,9.936
48,30.55205833,-88.10484722,Mobile,30.6953657,-88.0398912,17.104
49,33.43090833,-86.71233333,Hoover,33.405386699999994,-86.8113781,9.621
50,34.37793333,-85.75579167,Chattanooga,35.0456297,-85.3096801,84.705
51,33.10606944,-87.46706944,Tuscaloosa,33.2098407,-87.5691735,14.949
52,34.51033611,-85.76049444,Chattanooga,35.0456297,-85.3096801,72.375
53,33.39817778,-86.77766944,Hoover,33.405386699999994,-86.8113781,3.23
54,30.62482222,-88.12466111,Mobile,30.6953657,-88.0398912,11.282
55,32.84681944,-85.18687778,Auburn,32.6098566,-85.48078249999999,38.08
56,32.84681944,-85.18687778,Auburn,47.3073228,-122.22845320000002,3493.828
57,30.66823611,-88.05437222,Mobile,30.6953657,-88.0398912,3.319
58,30.97233333,-87.63953056,Mobile,30.6953657,-88.0398912,49.089
59,33.529925,-86.88088611,Birmingham,33.5206608,-86.80249,7.34
60,30.84359444,-88.39520556,Mobile,30.6953657,-88.0398912,37.737
61,31.82342222,-85.96047222,Montgomery,32.366805199999995,-86.2999689,68.363
62,34.72961667,-86.85619722,Madison,34.6992579,-86.7483318,10.421
63,34.72961667,-86.85619722,Madison,43.07305170000001,-89.4012302,953.395
64,33.03825556,-86.22563056,Hoover,33.405386699999994,-86.8113781,68.083
65,32.44788333,-87.96390278,Meridian,43.61210870000001,-116.3915131,2763.324
66,32.44788333,-87.96390278,Meridian,32.3643098,-88.70365600000001,70.066
67,34.86791111,-86.57139167,Huntsville,34.730368799999994,-86.5861037,15.353
68,34.86791111,-86.57139167,Huntsville,30.723526300000003,-95.5507771,956.924
69,30.52108889,-87.45863889,Pensacola,30.421309,-87.2169149,25.686
70,34.45239167,-85.78168333,Chattanooga,35.0456297,-85.3096801,78.81
71,31.82686111,-86.6481,Montgomery,32.366805199999995,-86.2999689,68.411
72,34.65318611,-87.52819722,Florence,34.1954331,-79.7625625,713.916
73,34.65318611,-87.52819722,Florence,34.79981,-87.677251,21.245
74,34.52244722,-85.82724444,Huntsville,34.730368799999994,-86.5861037,73.183
75,34.52244722,-85.82724444,Huntsville,30.723526300000003,-95.5507771,1003.211
76,34.06270556,-87.82596944,Florence,34.1954331,-79.7625625,742.145
77,34.06270556,-87.82596944,Florence,34.79981,-87.677251,83.089
78,34.76898333,-86.49392222,Huntsville,34.730368799999994,-86.5861037,9.453
79,34.76898333,-86.49392222,Huntsville,30.723526300000003,-95.5507771,958.487
80,31.28759444,-85.70040556,Dothan,31.2232313,-85.39048879999999,30.316
81,30.70100278,-88.12357222,Mobile,30.6953657,-88.0398912,8.026
82,30.45154444,-87.680225,Mobile,30.6953657,-88.0398912,43.826
83,32.32658333,-86.29738611,Montgomery,32.366805199999995,-86.2999689,4.479
84,32.61580556,-85.50796111,Auburn,32.6098566,-85.48078249999999,2.63
85,32.61580556,-85.50796111,Auburn,47.3073228,-122.22845320000002,3486.393
86,32.27960278,-85.38346389,Auburn,32.6098566,-85.48078249999999,37.841
87,32.27960278,-85.38346389,Auburn,47.3073228,-122.22845320000002,3519.001
88,30.68153889,-88.06909444,Mobile,30.6953657,-88.0398912,3.188
89,33.493625,-86.16795833,Birmingham,33.5206608,-86.80249,58.908
90,34.2806,-86.19588056,Huntsville,34.730368799999994,-86.5861037,61.48
91,34.2806,-86.19588056,Huntsville,30.723526300000003,-95.5507771,961.789
92,33.44571389,-86.73578611,Hoover,33.405386699999994,-86.8113781,8.326
93,33.53994444,-86.87020833,Birmingham,33.5206608,-86.80249,6.633
94,33.45167778,-86.8184,Hoover,33.405386699999994,-86.8113781,5.188
